Activity ID,Subject,Related To ID,Related To Type,Contact ID,Activity Type,Activity Date,Due Date,Status,Priority,Assigned To,Description,Next Steps,Sentiment,Duration (Hours),Location
"ACT-NPB-011","APAC Pilot Program Kickoff","OPP-NPB-002","Opportunity","CON-NPB-005","Meeting","2024-10-20","2024-10-20","Completed","High","Michael Harrison","Started 30-day pilot with Singapore and Tokyo desks. 20 users participating. Created custom dashboards for APAC markets. Daily check-ins scheduled.","Monitor pilot progress","Optimistic","3","Virtual"
"ACT-NPB-012","APAC Pilot Results Review","OPP-NPB-002","Opportunity","CON-NPB-005","Meeting","2024-11-22","2024-11-22","Completed","High","Michael Harrison","APAC pilot exceeded expectations. 18/20 users want to continue. Saved 3 hours/week per analyst. Tokyo head requesting immediate expansion.","Build EMEA business case","Very positive","2","Virtual"
"ACT-NPB-013","ESG Initial Interest Call","OPP-NPB-003","Opportunity","CON-NPB-010","Call","2024-11-01","2024-11-01","Completed","Medium","Michael Harrison","Maria Santos reached out after regulatory announcement on ESG reporting. Needs solution by Q2 for compliance. Currently using manual processes and spreadsheets.","Stakeholder mapping session","High interest","1","Virtual"
"ACT-NPB-014","ESG Pilot Program Design","OPP-NPB-003","Opportunity","CON-NPB-010","Meeting","2024-12-01","2024-12-01","Completed","Medium","Michael Harrison","Designed 60-day pilot covering 100 holdings. Focus on climate risk and governance scores. Success metrics defined. Providing pilot at no cost to prove value.","Launch pilot","Engaged","3","Virtual"
"ACT-NPB-015","ESG Pilot Mid-Point Review","OPP-NPB-003","Opportunity","CON-NPB-010","Meeting","2025-01-10","2025-01-10","Completed","Medium","Michael Harrison","Coverage at 94% of holdings. Found material ESG risks in 3 investments. Maria becoming strong advocate. CFO still questioning ROI.","Build financial impact model","Positive progress","2","Virtual"
"ACT-NPB-016","Credit Analytics Renewal Kickoff","OPP-NPB-004","Opportunity","CON-NPB-003","Meeting","2024-10-01","2024-10-01","Completed","High","Sarah Chen","Current contract expires January 31. Holly wants to expand to include predictive analytics. Happy with current service but wants better pricing. Moody's offered 30% discount to win business.","Value realization review","Positive","1","Virtual"
"ACT-NPB-017","Value Realization Workshop","OPP-NPB-004","Opportunity","CON-NPB-003","Meeting","2024-10-20","2024-10-20","Completed","High","Sarah Chen","Documented $8.5M in risk avoidance over contract term. Identified 15 use cases for expansion. Holly building case for 3-year commitment. Hans Gruber joined and endorsed expansion.","Prepare competitive response","Very positive","4","Los Angeles Office"
"ACT-NPB-018","Follow-up: ESG Data Requirements","OPP-NPB-003","Opportunity","CON-NPB-010","Email","2025-01-25","2025-01-26","Open","Medium","Michael Harrison","Send detailed ESG data coverage analysis and integration options","Review with Maria","","","Email"
"ACT-NPB-019","Schedule: London Executive Meeting","OPP-NPB-002","Opportunity","CON-NPB-005","Task","2025-02-01","2025-02-05","Open","High","Sarah Chen","Coordinate with Ellis to schedule London leadership meeting for EMEA expansion","Confirm attendees and agenda","","","Task"
"ACT-NPB-020","Prepare: Q1 Business Review","ACC-NPB-001","Account","CON-NPB-001","Task","2025-02-10","2025-02-15","Open","High","Sarah Chen","Prepare quarterly business review deck including all active opportunities and account health metrics","Send pre-read to Hans","","","Task"
